;question	answer	card_export_column__field_a	card_export_column__field_b	card_export_column__field_c	tags	c_Added	c_LatestReview	c_Due	c_Interval_in_Days	c_Ease	c_Reviews	c_Lapses	c_CardType	c_NoteType	c_Deck	c_NoteID	c_CardID	allrevs
;問題	答案
瓜田李下	在瓜田裡不彎身穿鞋，在李樹下不舉手整理帽子。語本無名氏〈君子行〉。後用「瓜田李下」比喻容易引起懷疑的場合。
借花獻佛	借用別人的花供養佛。典出《過去現在因果經》卷一。後用「借花獻佛」比喻借用他人的東西來作人情。 △「慷他人之慨」
故步自封	「故步」，舊的步法。比喻舊方法。語出《漢書．卷一○○．敘傳上》。「自封」，自我限制。語出晉．庾闡〈斷酒戒〉。「故步自封」指安於現狀，不求進取。 △「墨守成規」
笑裡藏刀	笑容的後面藏著刀。形容人外貌和善可親，內心卻陰險狠毒。＃語本《舊唐書．卷八二．李義府列傳》。 △「口蜜腹劍」
望塵莫及	只能遠望前面車馬揚起的塵土，而無法趕得上。比喻遠遠落在他人之後。＃語本《莊子．田子方》。 △「失之交臂」、「亦步亦趨」、「奔逸絕塵」、「瞠乎其後」
水到渠成	水流過處自然成渠。比喻事情自然發展，結果自成。※＃語或出宋．蘇軾〈答秦太虛書〉其四。後亦用「水到渠成」比喻事情條件完備則自然成功，不須強求。 △「水到魚行」、「瓜熟蒂落」
半途而廢	「半途而廢」之「途」，典源作「塗」。事情沒做成功就停止。比喻做事情有始無終。語本《禮記．中庸》。 △「中道而廢」
一籌莫展	籌，計策、計謀。「一籌莫展」指一點計策也施展不出來。比喻毫無辦法。語本《宋史．卷四三四．儒林列傳．蔡幼學》。
抱薪救火	抱著木柴去救火，比喻處理事情的方法錯誤，既無法達成目的，反而情勢更為惡劣。比喻用錯方法，而致禍害加深。＃語出《戰國策．魏策三》。 △「潑油救火」
大器晚成	貴重的器物需要長時間才能完成。＃語出《老子》第四一章。後用「大器晚成」比喻卓越的人才往往成就較晚。
莫逆之交	莫逆，相契而無所違逆。「莫逆之友」指心意相投的朋友。語本《莊子．大宗師》。
芒刺在背	像是有許多細小的芒刺沾在背上。比喻因畏忌而極度不安。語出《漢書．卷六八．霍光金日磾傳．霍光》。 △「如坐針氈」
按圖索驥	按照前人所畫的圖象，去尋求當代的良馬。比喻做事拘泥成規，呆板不知變通。語本《漢書．卷六七．楊胡米梅云傳．梅福》。後亦用「按圖索驥」比喻按照所掌握的線索辦事。
強弩之末	「強弩之末」之「強」，典源作「彊」。「彊」同「強」。強勁弓弩所射出的箭，到射程盡頭，已經沒有力道。比喻原本強大的力量已經衰竭，不能再發揮效用。＃語本《史記．卷一○八．韓長孺列傳》。
一網打盡	用網子全部抓住。典出《呂氏春秋．孟冬紀．異用》。後用「一網打盡」比喻排斥異己，不留孑遺。 △「網開一面」
蜀犬吠日	蜀地的狗看見了日出，便對著太陽狂叫。＃語本唐．岑參〈招北客文〉。後用「蜀犬吠日」形容人少見多怪。 △「蜀日越雪」、「粵犬吠雪」
曲突徙薪	將煙囪改彎，把柴薪移走。＃典出漢．劉向《說苑．卷一三．權謀》。後用「曲突徙薪」比喻事先採取措施，以防止危險發生。 △「有備無患」
矯枉過正	糾正偏差超過適切程度，反而不符合中庸之道。＃語本《越絕書．卷一五．越絕篇敘外傳記十九》。
吳牛喘月	吳地的水牛見到月亮以為是太陽，因此便自以為熱，氣喘不已。＃語本漢．應劭《風俗通義．佚文》。後來也用「吳牛喘月」轉而比喻人見到曾受其害的類似事物，而過分驚懼害怕。也用來形容天氣酷熱。
居安思危	處於安樂的時候，要想到危險可能會隨時出現。語出《左傳．襄公十一年》所引之《書》。
賓至如歸	客人來到這裡就好像回到自己的家裡。語出《左傳．襄公三十一年》。後用「賓至如歸」形容主人招待周到親切，使客人感到滿意。
不恥下問	不以向身分較低微或是學問較自己淺陋的人求教為羞恥。語出《論語．公冶長》。 △「不媿下學」、「無惡下問」
不可救藥	病重無藥可醫治。比喻到了無法挽救的地步。語出《詩經．大雅．板》。
河東獅吼	比喻妻子凶悍發威。＃語出宋．蘇軾〈寄吳德仁兼簡陳季常〉詩。 △「季常之癖」
開門見山	一開門就見到對門的山巒。比喻說話或寫文章直接了當，一開始就進入正題。※語或出宋．嚴羽《滄浪詩話．詩評》。 △「開宗明義」
手舞足蹈	揮手舉足，舞動跳躍。＃語本《詩經．大序》。後亦用「手舞足蹈」形容高興到了極點。
土崩瓦解	土石崩塌、磚瓦破碎。比喻人民的反抗，及政權內部的爭鬥。語本《史記．卷一一二．主父偃列傳》。後亦用「土崩瓦解」來比喻澈底潰敗，不可收拾。 △「分崩離析」
愛屋及烏	因愛一個人，連帶地也愛護停留在他屋上的烏鴉。比喻愛一個人也連帶地關愛與他有關的一切。＃語本《尚書大傳．卷二．大誓》。
不脛而走	「不脛而走」之「脛」，典源作「足」。脛，小腿。「不脛而走」指沒有腿也能去。＃語本《韓詩外傳》卷六。後用「不脛而走」比喻事物不用推廣，也能迅速傳播。 △「不翼而飛」
大義滅親	指為了維護公理正義，不徇私情，滅了犯罪的親人，或讓他們接受法律制裁。語出《左傳．隱公四年》
東施效顰	春秋越國醜女東施模仿美女西施捧心皺眉，然卻更見其醜。比喻盲目胡亂地模仿他人，結果卻適得其反。典出《莊子．天運》。 △「邯鄲學步」
從善如流	聽從好的意見，就像流水般的自然順暢。比喻樂於接受別人好的意見。◎語出《左傳．成公八年》。 △「從誨如流」、「從諫如流」
越俎代庖	俎，禮器。「越俎代庖」本指擔任主祭的人，超越職責，代替廚師下廚。用來比喻踰越職分代人辦事。語本《莊子．逍遙遊》。
水滴石穿	滴水久了可使石穿。比喻持之以恆，事必有成。語本《尸子》。後亦用「水滴石穿」比喻小問題日積月累也會成為大問題。 △「繩鋸木斷」
袖手旁觀	把手縮在袖子裡，在一旁觀看。形容置身事外，不予過問。語本唐．韓愈〈祭柳子厚文〉。 △「冷眼旁觀」
炙手可熱	手一靠近就覺得很熱。比喻地位尊貴，勢燄熾盛。＃語出唐．裴庭裕《東觀奏記》卷中。後亦用「炙手可熱」比喻廣受歡迎，名聲極盛。
因噎廢食	「因噎廢食」之「噎」，典源作「饐」。「饐」同「噎」。因為怕噎死，而不再吃東西。比喻曾經出過差錯，唯恐再錯而不去做該做的事。語本《呂氏春秋．孟秋紀．蕩兵》。
因勢利導	順著事物發展的趨勢，朝有利的方向引導。語本《史記．卷六五．孫子吳起傳．孫子》。 △「順水推舟」
草菅人命	菅，一種多年生的野草。「草菅人命」比喻輕視人命，任意加以殘害。＃語本《大戴禮記．保傅》。
排難解紛	排除危難，解決紛爭。語本《戰國策．趙策三》。
畏首畏尾	前也畏懼，後也畏懼。語出《左傳．文公十七年》。後用「畏首畏尾」形容疑慮顧忌，膽小怕事。 △「左顧右盼」、「鹿死不擇音」、「鋌而走險」
如魚得水	(一)像魚得游於水。如魚游水之姿，比喻筆法的靈活。語本秦．李斯〈用筆法〉。 (二)像魚得游於水。如魚得水之樂，比喻得到志同道合的人或適合於自己發展的環境。語本《三國志．卷三五．蜀書．諸葛亮傳》。 (三)像魚得游於水。如魚和水之親密，比喻兩人間情愛親密。※語或出《喻世明言．卷三．新橋市韓五賣春情》。
流芳百世	美名流傳後世、為人所稱頌。※＃語或本《三國志．卷五．魏書．后妃傳．文德郭皇后傳》。 △「千載流芳」、「垂芳千載」、「萬古流芳」
眾志成城	眾人同心，力量堅固如城。比喻團結一致，同心協力。語本《國語．周語下》。 △「眾口鑠金」
管中窺豹	從管中只看見豹的一小部分。比喻所見甚小，未得全貌。※＃語或本南朝宋．劉義慶《世說新語．方正》。 △「以管窺天」、「管窺蠡測」
南柯一夢	淳于棼夢中出任南柯太守，歷盡人生窮通榮辱，醒來才知道是一場夢。典出唐．李公佐《南柯太守傳》。後用「南柯一夢」比喻人生如夢，富貴得失無常。
名不虛傳	名聲與實際相符，而非徒有虛名。※◎語或本《史記．卷七五．孟嘗君列傳》。 △「名副其實」
束之高閣	把東西捆起來，放置於閣樓上。比喻棄置不用。＃語出晉．習鑿齒《漢晉春秋》。
喪心病狂	「喪心」，失掉本心。語出《左傳．昭公二十五年》。「病狂」，瘋狂的病症。語出《漢書．卷七三．韋賢傳》。「喪心病狂」指喪失理性，舉止荒謬、反常。亦用來形容人殘忍可惡到了極點。 △「喪盡天良」
見異思遷	見到別的事物就改變心意，比喻意志不堅定。＃語本《管子．小匡》。 △「心猿意馬」
明察秋毫	目光敏銳，可看見秋天鳥獸新長的毫毛。＃語本《纏子》。後用「明察秋毫」比喻洞察一切，能看到極細微的地方。 △「洞若觀火」
忍辱負重	忍受屈辱怨謗而承擔重任。語出《三國志．卷五八．吳書．陸遜傳》。
臥薪嘗膽	越王句踐躺臥在柴薪上，不時舔嘗苦膽，以警惕自己不忘所受的屈辱。比喻刻苦自勵，發奮圖強。典出《史記．卷四一．越王句踐世家》。
買櫝還珠	買了裝珍珠的盒子，而把珍珠退還。典出《韓非子．外儲說左上》。後用「買櫝還珠」比喻捨本逐末，取捨失當。
作威作福	君主獨攬權勢，專行賞罰。語本《書經．洪範》。後用「作威作福」指仗著權勢欺壓別人。 △「橫行霸道」
兩袖清風	(一)形容喝茶或飲酒後清爽舒暢的感覺。※語或出元．高文秀《遇上皇》第一折。 △「兩腋清風」 (二)形容瀟灑飄逸、超脫凡俗的樣子。※語或出元．陳基〈次韻吳江道中〉詩。 (三)除兩袖之清風外，身上別無所有。形容作官廉潔，毫無貪贓枉法之事。＃語本明．田汝成《西湖遊覽志餘．卷八．賢達高風》。 △「囊空如洗」、「兩腋清風」
明目張膽	張大眼，壯著膽。形容有膽識，無所畏懼。＃語本《史記．卷八九．張耳陳餘列傳》。後用「明目張膽」比喻肆無忌憚地公然做壞事。 △「明火執仗」
肝膽相照	以肝膽互相照見。比喻赤忱相處。＃語本《史記．卷九二．淮陰侯列傳》。 △「肝膽照人」、「披肝瀝膽」
不求甚解	讀書著重理解義理，而不過度鑽研字句上的解釋。＃語出晉．陶潛〈五柳先生傳〉。後亦用「不求甚解」形容學習或工作的態度不認真，只求略懂皮毛而不深入理解。
青黃不接	青，指還沒成熟的綠色禾苗；黃，指舊有的黃熟穀物。「青黃不接」指新穀還沒成熟，存糧又已吃完。※語或本宋．歐陽修〈言青苗錢第二劄子〉。後用「青黃不接」比喻有所匱乏，一時難以為繼。
民不聊生	聊生，賴以維生。「民不聊生」指人民無法生活下去。形容百姓生活非常困苦。＃語本《戰國策．秦策四》。 △「生靈塗炭」
明哲保身	明達事理、洞見時勢的人，不參與會帶給自己危險的事。語本《詩經．大雅．烝民》。後亦用「明哲保身」指為了個人得失而喪失原則的庸俗處世態度。 △「獨善其身」
妄自菲薄	隨意看輕自己，不知自重。＃語出三國蜀．諸葛亮〈出師表〉。 △「自暴自棄」
自慚形穢	因容貌儀態不如別人而感覺羞愧。語本南朝宋．劉義慶《世說新語．容止》。後用「自慚形穢」泛指與人相比自愧不如。
泥牛入海	泥塑的牛掉入海中。比喻人種種互相矛盾的思慮被解開。＃語本《祖堂集．卷六．洞山和尚》。後用「泥牛入海」比喻一去不復返。 △「杳如黃鶴」
急如星火	如流星的光那樣急速，形容情勢急迫。＃語本晉．李密〈陳情表〉。
背道而馳	行為不合情理，做事違反正道。※＃語或本唐．白居易〈為人上宰相書〉。後用「背道而馳」比喻彼此的目標或理想完全相反。 △「南轅北轍」
休戚相關	彼此歡樂憂愁、幸福禍患，互相關聯。語本《國語．周語下》。後用「休戚相關」形容彼此間的關係密切，利害一致。 △「休戚與共」
同舟共濟	同乘一條船渡河，比喻同心協力，戰勝困難。語本《孫子．九地》。 △「風雨同舟」
披星戴月	「披星戴月」之「戴」，典源作「帶」。形容早出晚歸、連夜趕路或工作備極勞累。語本唐．呂巖〈七言〉詩其四四。
相敬如賓	形容夫妻間相處融洽，互相敬愛。＃語本《左傳．僖公三十三年》。
鶴立雞群	鶴站在雞群之中，非常突出。比喻人的儀表才能超群脫凡。＃語本晉．戴逵〈竹林七賢論〉。後亦用「鶴立雞群」比喻事物的不平凡。
